"city","description","title","age","state","posting-date","location","review-id"
"city","description","title","age","state","posting-date","location","review-id"
"DETROIT","Satisfaction guaranteed the ultimate top specialist here to please upscale guys only No blocked calls30 n up NO DRAMA ZONE420 FRIENDLYLocated in TAYLOR","rain","23","MICHIGAN","7 day","DETROIT MI","2640236"
"DETROIT","420 friendly","New numbertripple threat Lia from eightmile and Greenfield is back better","23","MI","1 day","DETROIT MI","2653210"
"SAN DIEGO","Nice to meet you. My name is Jessica. I am from Sweden currently living in San Diego. I am #19 on top 100 list of the best providers in San Diego. I have a nice, clean and private incall with fireplace, oversized tub and King size bed in Clairemont. I have private parking for you so no need to look for parking. I am 37 years old, fiery red hair and ocean blue eyes. Petite 130 pounds and 5&#180;4 tall with nice positioned D breasts. I have a M.Sc (Masters Degree) in Engineering from Sweden. I am a great companion and I speak five languages. I care about our time together and I offer unrushed encounters with pleasure for both of us. I love to laugh, smile, cuddle, kiss and spend quality time, enough for us to connect. I am able to fit into any social situation. I am able to conversate with you no matter what your educational or career background you might have. If you would like to see more pictures of me and get to know more about me, please check my website. I also offer doubles w multiple women and men, see pics and rates on my website. King size bed and a nice big tub to play in. GFE Rates: Incall 1 hour $250.00 2 hours $400.00 Get $50 off on GFE rates when showing proof of purchase from my toystore. My toystore has over 15 000 different items to choose from. Military discount $50 off GFE rates (1h minimum). Show military ID. FBSM Rates: 30min $120 1h $180 Call or text me at: 1 619 319 7315 ( Texting me is the best way to get hold of me!! ) Please do not PM me within different accounts. I am not able to set up the appointment unless you text or email me. PS. If you rather talk dirty, please call my chat line. I look forward to see you soon. xoxoxo Jessica","San Diego (Clairemont): Newbie friendly. Highly reviewed in private incall. GFE and FBSM","30","MICHIGAN","2 day","SAN DIEGO CA","2799553"
"BURLINGTON","Single white female looking for clean respectful man to have fun and play with this summer55 120 long brown hair brown eyes slender build Donations are 80hh 150hr Call or text Serious inquiries only please","Sexy Summer Fun","22","MI","8 hour","BURLINGTON VT","2658391"
"DETROIT","You See me Im back A Big Beautiful Woman BBW thick and freaky af Call me when your ReadyMature Men 35SWIMWEAR is Required No ExceptionsNo Law EnforcementStrict on Donations I dont accept anything under 50roses So dont waste my time420FriendlyCome relax your mind and have a good time with me Your Destinee new number","I will Devour You","27","CALIFORNIA","4 hour","DETROIT MI","2654735"
"SAN FRANCISCO","Im the total packageIf u are looking for an unforgettable experience look no further Beautiful thick with all the right curves sweet and loves to please I will have you coming back for more Very sexyclean and discreet independentGreat reviews NO drama here Pics are real Calls and texts okNOexplicittalk Available for ins outs Call me nowIm waiting Poster age 27","Sexy Requa","23","CA","1 day","SAN FRANCISCO CA","2789085"
"SAN FRANCISCO","I do not hold back on anything when is comes to pleasing you I am yearning to make a new connection with someone that appreciates a girl with beauty brains isnt afraid of expressing her sexuality and loves to party Natural perky breast lean fit body luscious lips bedroom eyes and Im READY to please ALL OF YOU and you Deserve every bit OPEN MINDED FUN 100 REAL PIX Miley","Blonde Party Girl Willing To Go Above And Beyond To Please YOU Get All The Pleasure U DESERVE","26","VERMONT","1 day","SAN FRANCISCO CA","2789086"
"SAN FRANCISCO","Hi guysNEW Chinese girl ALICE is here for you She is a 54 105 lbs She is waiting for youtoday Please text or call Incall 200 for 60 min160 for 40 min140 for 30 minand 100 for 20 min NURU also available 250 roses for 75 min or 200 for 45 min Outcall also available 250 for 60 min","Welcome NEW asian girl ALICE to San Francisco","23","VT","1 day","SAN FRANCISCO CA","2787321"
"SAN FRANCISCO","Schools Out Freaks Out Ive been harboring who I really am Im tired of being dating guys on campus being cooped up in the dorm rooms studying Finals are over but summer starts and so does pleasing you Call me Im truly ready to let my hair down and let the sexiness beginDee","Semester IS Done Now ITs Time To Let The Freak Out","23","MICHIGAN","1 day","SAN FRANCISCO CA","2787319"
"SAN JUAN","CAROLIN THE SUPER VIP Service Exclusive erotic Presents CAROLIN 23 year old girl friendly and accommodating Venezuelan serves you no troubleHi I want to please all your sexual erotic desires as you wish Oral and vaginal sex as you prefer Just asking for more and more and I will give much more Caresses your whole body as you wish And massage Call me and discover your sexual fantasyI entertain men women and couples Ill residential and hotels","two sexy girls available now","22","MI","14 hour","SAN JUAN PR","2781371"
"SAN FRANCISCO","Hello Gentlemen I am Japanese Fiona 22 years oldI am 52 100 lbs with amazing measurement34D2434I provide meetings with the best girls at the most affordable rateI with a sexy body and soft smooth silky skin gorgeous long legsI am highly educated and sweet hottie Call Fiona to Outcall OnlyText","NEW GIRL CALL ME TODAY Outcall Only Sexy Asian Girl Fiona","22","CALIFORNIA","1 day","SAN FRANCISCO CA","2787320"
"SAN FRANCISCO","New GIRLS No Rush Always Give Extra Time Japanese Girl Cindy Kay Viet Girls WE Both Are OpenMinded College StudentsWE Both Are sexy work independently that love to have fun Come Sexy lingerie stocking SHOWER TOGETHER Nuru Massage Amazing Skill ASERVICE 100Real Pics or Text","SMOKING 4155494271ot ot Asian mtKAYNEW IN TOWNSHORT STAYINCALL","24","CA","23 hour","SAN FRANCISCO CA","2789091"
"BURLINGTON","Real woman can b hard 2find but i know my beauty alone would make u feel lucky more than any otherIm a 58Gorgeous redhead with baby blue eyes not to mention i have curves for u to love Im the very easy going down to earth typeIm lookin for serious enquiries only pleaseJust know that you can trust me You will never have to 2nd guess me My word is all I got to give ina situation like thisIll keep them allSo dont waste anymore of your time Callortext OUTCALLS","Always classy Fiv5estarUpscale","22","CALIFORNIA","2 day","BURLINGTON VT","2654545"
"SAN FRANCISCO","My name is Elma I m a 22year old nice curvy Asian cutie with a great attitude well educated and speak good EnglishI have a private place that makes visiting me nice and easy and pleasant this way you can be as a private and discreet as you choose I am based in Union square Stockton street area in the heart of San Francisco I am looking forward to see you","Taiwanese Girl","21","CA","1 day","SAN FRANCISCO CA","2789082"
"SAN FRANCISCO","Im Camilla Your New Sweet Addiction Sensual Exotic Playmate Quality at its finest COMPLETELY PROFESSIONAL Pleasure Im a Gentleman Dream Come True Im An Expert and My Regulars Love Me Serious Callers Only Please playful professional and discreetC A U T I O N EXTREMELY Addictive You wont regret your time with me Please dont text If not seriousXoxo CamillaCallText SFO SurroundingINOUT","Beautiful Indian Princess Guaranteed Companionship SFo INOUTCALLS","24","CALIFORNIA","23 hour","SAN FRANCISCO CA","2789089"
"PORTLAND","Cleanliness and Good Hygiene is REQUIRED I present myself to you as I would want you to present yourself to mekaci420 friendly","PortlandReal Pictures READ MY AD Sexy Ebony Princess","23","CA","7 hour","PORTLAND OR","2654916"
"SAN FRANCISCO","Jessica sexy body Perky Cs Silky Body Great Legs 36C2436 105 lbs 53She can satisfy any and every one of your cravings for pure satisfaction So please sit back and relax You will enjoy every bit of her Your time with her will be fulfilling and unforgettable You will not be disappointed terReview ID 251299Please call for an appointment between 10am to 12am UNLOCK YOUR NUMBER 120hhr 160HRSorry No AA","Real Photos 100Sexy Beautiful Asian HongKong Girl With Excellent Massage Skills","28","CALIFORNIA","1 day","SAN FRANCISCO CA","2789084"
"SAN FRANCISCO","Hello GentsAre you ready for an Unforgettable Experience GF Give me a call text are ok and let me show you the time of your life My pics are 100 me What you see is what you get I promise you will leave completely satisfied and asking for more No Negotiations My rates are final and Im more than worth it Come spend some time with this sexy spinner400Hr Available Today 914 Incall Limited OutKissesMaria","Exotic Filipina SpinnerDowntown 914 Incall Limited Outcall","23","CA","23 hour","SAN FRANCISCO CA","2789090"
"SAN FRANCISCO","Hey guys my names Erika a bombshell who satisfaction lies in making ALL of you desires a reality No games and no drama just a classy girl here to fulfill every fantasy 100 natural 100 real Im here to please not tease Reliable ready Very OpenMinded INDEPENDENT I To ParTy","Your Ultimate Dream Girl PLAYMATE With A Constant Craving For FUN INDEPENDENT"," ","PUERTO RICO","1 day","SAN FRANCISCO CA","2789087"
" "," "," "," ","PR"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","VERMONT"," "," "," "
" "," "," "," ","VT"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","OREGON"," "," "," "
" "," "," "," ","OR"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
" "," "," "," ","CALIFORNIA"," "," "," "
" "," "," "," ","CA"," "," "," "
